IMPACT_CATEGORY_ID,IMPACT_METHOD_ID,IMPACT_CATEGORY_NAME,IMPACT_CATEGORY_NAME_IN_METHOD
31bcfded-7bd6-4c64-be6d-2b5becf88da9,167c6bac-650c-4413-adfe-9f93b2b22488,climate change: total (excl. biogenic CO2),climate change
45884ed6-b1fa-4135-8630-b773687546c0,e57693cf-ed07-416c-8831-58f044f1bd76,climate change: emissions from direct land use change no LT,climate change
1bd13e5a-b362-426c-9d59-9d9a47144302,e57693cf-ed07-416c-8831-58f044f1bd76,climate change: total (excl. biogenic CO2) no LT,climate change
6336559b-8169-41e9-8667-b7b1260fcb31,87a57579-d6c4-477c-a327-f863804a15aa,human health,Human health
5fe7b66e-6b89-4f74-8c3a-991cc4278cd5,b42b5d7d-371c-4c00-a601-cf9572670e00,ecosystem quality no LT,
bcfc2649-e280-45bb-95d8-68c33a010a69,b42b5d7d-371c-4c00-a601-cf9572670e00,ecosystem quality no LT,
2b671eca-e28f-4527-836f-1b66d68452b8,dccd97fd-bfe2-4ff9-8616-50a835ddc2f0,ecosystem quality,Marine ecosystems
c0256465-9b98-4ed0-8efd-ecde9be9f19e,dccd97fd-bfe2-4ff9-8616-50a835ddc2f0,human health,Human health
6be6e506-828d-41ac-830e-c31da3ebf315,e1ba87fc-66bd-4be7-8b09-e4d14da279be,total: natural resources no LT,
f061fec6-91b6-4c74-8863-155aacfb4b9a,4d9ac60a-73ab-40cf-bc71-d967ef59865e,ecosystem quality,Terrestrial ecosystems
372ed7ea-baa8-4022-8f41-c44df6e6bffd,48197fde-fc9e-4563-8eb0-6ea9a5598a5c,human health no LT,
7513b4eb-d3ee-41f0-89ac-4a9be644ae64,6e67b147-f0eb-48eb-bc09-0260d78a8f59,climate change no LT,
76c90471-76b3-4e28-a960-9ae93871145a,6e67b147-f0eb-48eb-bc09-0260d78a8f59,photochemical oxidant formation: human health no LT,
87eb01d3-cc95-4b5d-a2e6-52942d23d1ae,81928238-d7ba-45fc-9f28-af354c2b7dd3,eutrophication: freshwater no LT,
5cb62e99-48b6-4896-9f6a-95275f1ea787,1b75e464-5938-4fbb-abc6-c15790d99ea7,ionising radiation no LT,
71e218dd-1584-43bd-b83c-1d7e8ed35759,b19894fe-e19c-41ed-9819-6d0053d02b98,human toxicity: non-carcinogenic (EF v3.0),
27fb1ae4-0b86-4ef0-ae70-bf008c4c5d32,b5192a30-6786-4ef8-a955-e2645c3d5420,eutrophication: freshwater,
3db36018-4449-4227-8b1a-fdc1b69e532f,35716c60-7337-4442-9f3a-42effd692b82,ecotoxicity: marine,Marine aquatic ecotoxicity (MAETP inf)
b4c66279-af3e-4036-8a91-133f08bd1687,9f706f7a-3b76-47f8-ad14-c97d61c06e63,ecotoxicity: freshwater no LT,Freshwater aquatic ecotoxicity (FAETP inf)
7f8d4c2a-7ee8-49df-ad26-850349e47521,ec605685-78f5-4d1b-a73f-5412044417b8,material resources: metals/minerals,CSP (kg Si eq/kg)
3bb71601-4d4b-4f06-a9dd-b50bee8e62e5,73998dad-83a3-4212-b61d-ec1a50ce5898,"energy resources: renewable, water",
f3a134ce-b1ab-4e0a-8223-9ff90110f968,4774e3fa-dbf0-4ba1-b15d-9ff90110f950,material resources: minerals,
cea14783-863e-4093-9a74-297b9ea410eb,208ef1bf-6c80-401e-b773-54f0960c09d9,eutrophication: marine no LT,Eutrophication marine
044e7b25-9dcd-4cc4-a242-bc46a030868d,208ef1bf-6c80-401e-b773-54f0960c09d9,"human toxicity: non-carcinogenic, metals no LT","Human toxicity, non-cancer_metals"
c07bdd14-a538-490a-8478-475af2ea6c4e,208ef1bf-6c80-401e-b773-54f0960c09d9,ozone depletion no LT,Ozone depletion
0a2c2a76-4944-4444-bc9b-dcf1af28a3b9,a0eb6ad1-a4aa-47aa-a80e-a94961846fc7,emissions to air,
33e1e613-09b8-48d0-9db0-f95291a180ea,ac3b6c62-8053-4725-9756-07064cfcc810,emissions to air no LT,
1132570b-a776-4133-b100-b0f5f511538f,6aa69c4d-9315-4ec7-802b-22e5ce740ea4,emissions to air,Radioactive substances into air
1f6e2715-9638-4b46-886c-d8953fb0f96d,6aa69c4d-9315-4ec7-802b-22e5ce740ea4,emissions to soil,Pesticides into soil
29656dcd-0bbc-48cd-94ff-f6d7afda3e36,878dcbcd-0c37-4d68-9081-fc0c5a567217,energy resources: non-renewable,Fossil and nuclear energy use
0b145a5d-b511-4641-b9ac-82a58be2402d,167c6bac-650c-4413-adfe-9f93b2b22488,climate change: direct land use change,climate change
2053bf98-0546-40ed-9043-a39e1453bc2e,167c6bac-650c-4413-adfe-9f93b2b22488,climate change: total (excl. biogenic CO2),climate change
db8da6cd-5783-47fe-82e7-b67ac51bb0cd,25583383-5a50-4fbf-9850-c9f2d57607b5,emissions to air,
78db7af0-8d4d-4165-b284-3dbca4a54e5a,87a57579-d6c4-477c-a327-f863804a15aa,ecosystem quality,Marine ecosystems
be13c8b1-d4fc-4b0b-87dd-ac3132b5783b,87a57579-d6c4-477c-a327-f863804a15aa,human health,Human health
17e72536-bd26-46e7-a506-3db870901d69,e1ba87fc-66bd-4be7-8b09-e4d14da279be,ecosystem quality no LT,
c66ff00a-8116-4baf-998e-5a6bffc33ce3,4d9ac60a-73ab-40cf-bc71-d967ef59865e,ecosystem quality,Terrestrial ecosystems
54890f1b-25dd-49da-8593-bb7835f63d92,4d9ac60a-73ab-40cf-bc71-d967ef59865e,ecosystem quality,Terrestrial ecosystems
012533ec-2652-4dc0-82b5-95da86083f6c,4d9ac60a-73ab-40cf-bc71-d967ef59865e,ecosystem quality,Freshwater ecosystems
