PCR,DATABASE_VERSION,COMPANY_CODE,ITEM_CODE,ITEM_NAME,UNIT_PROCESS_ID,CONVERSION_FACTOR
CONS,ecoinvent-v3.11,TA,10308,,6e1de47f-7fb6-408c-9c62-7e2c42cd34af,1.0000000000
CONS,ecoinvent-v3.11,TA,18042,,09f96faf-0464-4fef-8cc7-c02c44f0a1b1,1.0000000000
CONS,ecoinvent-v3.11,TA,65712,,b49cc63c-6081-4d61-ae9c-c7e93b3a0b00,1.0000000000
CONS,ecoinvent-v3.11,TA,DES4,,ad72e45d-7e1d-4871-ac25-5d76d7f15a26,1.0000000000
CONS,ecoinvent-v3.11,TA,SLBF,,ad72e45d-7e1d-4871-ac25-5d76d7f15a26,1.0000000000
CONS,ecoinvent-v3.11,TA,YJ003,,7c33aff7-6dbe-4f5f-8532-f806b1c06083,1.0000000000
CONS,ecoinvent-v3.11,TA,12319,边角余料,d14962f9-364e-4e2d-afb2-50f80b4de8f1,1.0000000000
CONS,ecoinvent-v3.11,TA,1405,,7e3dc6a9-41a5-4fd4-99ff-d7c8b18b14d8,1.0000000000
CONS,ecoinvent-v3.11,TA,65900,,2ec7760d-e523-4b31-a139-34495a0d3c72,1.0000000000
CONS,ecoinvent-v3.11,ZG,MCCR,,2fcac100-8d50-42d6-a085-04862c21a14e,1.0000000000
CONS,ecoinvent-v3.11,TA,SIMN,,beba5da8-0617-4773-8273-2feb0f7d2536,1.0000000000
CONS,ecoinvent-v3.11,ZG,14400,(未选)石灰石,c45fe27e-aa23-46b3-8a55-14324183a0a2,1.0000000000
CONS,ecoinvent-v3.11,ZG,B-AL00,,e07974bc-42bb-447e-8af4-f33c4eeb9d86,1.0000000000
CONS,ecoinvent-v3.11,TA,1311,,d8e9f95a-bad0-41b9-8f0d-99532dd5fe93,1.0000000000
CONS,ecoinvent-v3.11,TA,1406,,beba5da8-0617-4773-8273-2feb0f7d2536,1.0000000000
CONS,ecoinvent-v3.11,ZG,1203,,d14962f9-364e-4e2d-afb2-50f80b4de8f1,1.0000000000
CONS,ecoinvent-v3.11,TA,11301,,a7aa8f57-5f44-410f-8141-0a47c8aa617f,1.0000000000
CONS,ecoinvent-v3.11,TA,1301,,c99a8731-cf4d-4cac-af1b-33740646087f,1.0000000000
CONS,ecoinvent-v3.11,TA,336-059-17,锡泥,aad8f23d-aa72-48c0-905d-14c52109d46f,1.0000000000
BASIC,ecoinvent-v3.11,RG,14403,轻烧白云石,4099b319-64b7-427d-986b-1315fb202e93,1.0000000000
BASIC,ecoinvent-v3.11,ZG,LWGRY,,dda9f8e7-db2d-4676-8ded-4ddce83a555d,1.0000000000
BASIC,ecoinvent-v3.11,WG,50110,,ec6cae57-bbd2-4fab-98b0-4ffdda4e5a61,1.0000000000
