DATABASE_VERSION,DATABASE_NAME,FULL_VERSION,RELEASE_TIME,SOURCE,DESCRIPTION,IS_ACTIVE
ecoinvent-v3.8,ecoinvent,3.8,"September 21st, 2021",易碳,,true
ecoinvent-v3.11,ecoinvent,3.11,"November 19th, 2024",SimaPro-v10.2,,true
